time,open,close,outcome_up,strategy,side,model_prob_up,market_prob_up,edge,vol_regime,imbalance,momentum_signal,reason,won,stake,pnl
2026-02-24 13:00:00,62969.04,63079.86,True,momentum,DOWN,0.4995581612567625,0.5,-0.0004418387432374993,TRADE,0.0,-0.0008836774864749846,edge -0.000 < -threshold 0.000,False,10.0,-10.0
2026-02-24 13:15:00,63079.86,62920.29,False,momentum,,0.5002221595401567,0.5,0.0002221595401566967,TRADE,0.0,0.00044431908031337524,"edge +0.000 inside threshold band, no trade",,0.0,0.0
2026-02-24 13:30:00,62920.3,62931.54,True,momentum,DOWN,0.4996565984699177,0.5,-0.0003434015300822768,TRADE,0.0,-0.000686803060164569,edge -0.000 < -threshold 0.000,False,10.0,-10.0
2026-02-24 13:45:00,62931.54,62900.0,False,momentum,,0.5001803887901072,0.5,0.00018038879010717768,TRADE,0.0,0.000360777580214377,"edge +0.000 inside threshold band, no trade",,0.0,0.0
2026-02-24 14:00:00,62900.01,62944.02,True,momentum,,0.499796785598233,0.5,-0.00020321440176701566,TRADE,0.0,-0.0004064288035340221,"edge -0.000 inside threshold band, no trade",,0.0,0.0
2026-02-24 14:15:00,62944.03,63000.89,True,momentum,,0.5000419425451933,0.5,4.194254519329643e-05,TRADE,0.0,8.388509038664018e-05,"edge +0.000 inside threshold band, no trade",,0.0,0.0
2026-02-24 14:30:00,63000.89,63336.41,True,momentum,UP,0.5003819880661322,0.5,0.0003819880661322106,TRADE,0.0,0.0007639761322643278,edge +0.000 > threshold 0.000,True,10.0,10.0
2026-02-24 14:45:00,63336.4,63453.99,True,momentum,UP,0.5013221484791701,0.5,0.0013221484791701155,TRADE,0.0,0.00264429695834023,edge +0.001 > threshold 0.000,True,10.0,10.0
2026-02-24 15:00:00,63454.0,63585.0,True,momentum,,0.5002451233768196,0.5,0.0002451233768195893,TRADE,0.0,0.0004902467536391799,"edge +0.000 inside threshold band, no trade",,0.0,0.0
2026-02-24 15:15:00,63581.94,63928.22,True,momentum,UP,0.5004913368961549,0.5,0.0004913368961548814,TRADE,0.0,0.0009826737923098537,edge +0.000 > threshold 0.000,True,10.0,10.0
2026-02-24 15:30:00,63928.21,63748.29,False,momentum,UP,0.5009073836177869,0.5,0.000907383617786861,TRADE,0.0,0.0018147672355736352,edge +0.001 > threshold 0.000,False,10.0,-10.0
2026-02-24 15:45:00,63748.28,63973.97,True,momentum,,0.4998342306828755,0.5,-0.00016576931712447562,TRADE,0.0,-0.00033153863424889893,"edge -0.000 inside threshold band, no trade",,0.0,0.0
2026-02-24 16:00:00,63973.98,64163.3,True,momentum,UP,0.5006465928235,0.5,0.0006465928234999918,TRADE,0.0,0.001293185646999953,edge +0.001 > threshold 0.000,True,10.0,10.0
2026-02-24 16:15:00,64163.3,63956.21,False,momentum,UP,0.5003704075289486,0.5,0.00037040752894856865,TRADE,0.0,0.0007408150578972374,edge +0.000 > threshold 0.000,False,10.0,-10.0
2026-02-24 16:30:00,63956.21,64043.02,True,momentum,DOWN,0.4992362476650637,0.5,-0.0007637523349363073,TRADE,0.0,-0.0015275046698726507,edge -0.001 < -threshold 0.000,False,10.0,-10.0
2026-02-24 16:45:00,64043.03,64265.52,True,momentum,UP,0.5003699739355422,0.5,0.0003699739355421672,TRADE,0.0,0.0007399478710843898,edge +0.000 > threshold 0.000,True,10.0,10.0
2026-02-24 17:00:00,64265.53,64412.0,True,momentum,UP,0.5010519857596737,0.5,0.0010519857596736903,TRADE,0.0,0.0021039715193473967,edge +0.001 > threshold 0.000,True,10.0,10.0
2026-02-24 17:15:00,64412.0,64147.96,False,momentum,UP,0.5007461880315343,0.5,0.0007461880315342562,TRADE,0.0,0.0014923760630684395,edge +0.001 > threshold 0.000,False,10.0,-10.0
2026-02-24 17:30:00,64147.96,64099.75,False,momentum,DOWN,0.499553888533254,0.5,-0.000446111466746002,TRADE,0.0,-0.0008922229334919516,edge -0.000 < -threshold 0.000,True,10.0,10.0
2026-02-24 17:45:00,64099.75,64219.71,True,momentum,DOWN,0.49965372280176606,0.5,-0.0003462771982339352,TRADE,0.0,-0.0006925543964678776,edge -0.000 < -threshold 0.000,False,10.0,-10.0
2026-02-24 18:00:00,64219.7,63970.62,False,momentum,UP,0.5002957035708895,0.5,0.00029570357088948285,TRADE,0.0,0.0005914071417789002,edge +0.000 > threshold 0.000,False,10.0,-10.0
2026-02-24 18:15:00,63970.63,64292.0,True,momentum,DOWN,0.49922852598492806,0.5,-0.0007714740150719379,TRADE,0.0,-0.0015429480301439014,edge -0.001 < -threshold 0.000,False,10.0,-10.0
2026-02-24 18:30:00,64292.01,64370.98,True,momentum,UP,0.5003732740023809,0.5,0.0003732740023808523,TRADE,0.0,0.0007465480047617172,edge +0.000 > threshold 0.000,True,10.0,10.0
2026-02-24 18:45:00,64370.97,64435.06,True,momentum,UP,0.5003666583024639,0.5,0.00036665830246385145,TRADE,0.0,0.0007333166049277951,edge +0.000 > threshold 0.000,True,10.0,10.0
2026-02-24 19:00:00,64435.05,64310.66,False,momentum,,0.5001808537553541,0.5,0.00018085375535414894,TRADE,0.0,0.00036170751070827863,"edge +0.000 inside threshold band, no trade",,0.0,0.0
